race_id	horse_id	jockey_id	trainer_id	owner_id	rank	wakuban	umaban	sex	age	weight	weight_diff	tansyo	popularity	impost
202401010101	2022105244	1197	1192	42033	1.0	5	5	22530.0	2	462	-2	1.2	1.0	55
202401010101	2022106999	1169	1064	897009	2.0	2	2	17447.0	2	452	-2	10.2	4.0	55
202401010101	2022100639	1170	1113	170800	3.0	3	3	1947.0	2	416	6	7.9	3.0	55
202401010101	2022105762	1188	1133	180800	4.0	1	1		2	410	6	5.9	2.0	55
202401010101	2022100660	1199	1186	170800	5.0	4	4		2	438	-2	21.3	5.0	54
202401010102	2021100650	1102	1082	482002	1.0	2	2		3	474	-2	3.9	2.0	55
202401010102	2021101558	666	1094	515800	2.0	5	6		3	494	4	9.4	6.0	57
202401010102	2021100648	1199	1128	281008	3.0	6	8		3	434	0	44.4	9.0	54
202401010102	2021101653	1205	1182	3060	4.0	6	7		3	474	-2	3.9	1.0	52
